,key,Bulk 1,Bulk 2,Bulk 3,Bulk 4,Bulk 5,Bulk 6,Bulk 7,Bulk 8,Bulk 9,Bulk 10,Bulk 11,Bulk 12,Bulk 13,Bulk 14,Bulk 15
37,38,,,83.0,,,,,,,,,206.0,,99.0,202.0
38,39,,,,114.0,,,,,,,,155.0,,101.0,204.0
39,40,,,,106.0,,,,,,,,205.0,,106.0,205.0
40,43,,,81.0,,,,,,,,,207.0,,102.0,204.0
41,44,,,,,,88.0,,,,,,159.0,154.0,321.0,159.0
42,45,,,,,,84.0,,,,,,205.0,,417.0,204.0
43,46,,,,,,70.0,,,,,,204.0,,401.0,204.0
44,47,,,,,,76.0,,,,,,204.0,,100.0,204.0
45,48,,,,,,172.0,,,,,,,,,
46,49,,,,,,157.0,,,,,,,,,
47,50,,,,,,185.0,,,,,,,,,
48,57,27.0,,,,,109.0,,,,,,414.0,,310.0,205.0
49,58,48.0,,,,,146.0,,,,,,380.0,,277.0,205.0
50,59,29.0,,,,,87.0,,,,,,430.0,,235.0,205.0
51,60,46.0,,,,,66.0,,,,,,116.0,,163.0,124.0
52,61,46.0,,,,,138.0,,,,,,139.0,,174.0,134.0
53,62,46.0,,,,,106.0,,,,,,175.0,,151.0,105.0
54,63,46.0,,,,,82.0,,,,,,106.0,,101.0,204.0
55,64,,,,,,80.0,,,,,23.0,103.0,,101.0,206.0
56,65,,,,,,76.0,,,,,,107.0,,151.0,205.0
57,66,,,,108.0,,,,,,,,,,103.0,203.0
58,67,,,,51.0,,,,,,,,,,252.0,
59,68,,,,,,,,,,,,155.0,,105.0,204.0
60,69,46.0,,,171.0,,,,,,,,412.0,,177.0,205.0
61,70,,,,223.0,,,,,,,,156.0,,104.0,205.0
62,71,,,,118.0,,,,,,,,311.0,,206.0,203.0
63,73,,,,111.0,,,,,,,,204.0,,106.0,203.0
64,74,,,,188.0,,,,,,,,205.0,,106.0,203.0
65,75,,,,141.0,,,,,,,,,,,
66,76,,,,77.0,,,,,,56.0,,,,,
67,77,,,146.0,,,125.0,,,,,,408.0,,215.0,203.0
68,78,,,149.0,,,87.0,,,,,,205.0,,109.0,203.0
69,79,,,70.0,,,,,,,,,206.0,,102.0,203.0
70,82,,,53.0,,,,,,,,,,,,
71,83,,,,,,,,,,,,410.0,,208.0,
72,84,,,,,,,,,,,,412.0,,210.0,
73,85,,,,,,,,,,,,205.0,,255.0,
74,86,,,,,,36.0,,,,,107.0,307.0,,152.0,204.0
75,87,,,,,,136.0,,,,,,,,198.0,
76,88,,,,,,73.0,,,,,,415.0,,202.0,204.0
77,89,,,,,,106.0,,,,,,255.0,,137.0,203.0
78,90,,,,62.0,,,,,,,,257.0,,105.0,204.0
79,91,,,,,,106.0,,,,,,255.0,,126.0,204.0
80,92,,,,,,144.0,,,,,,,,308.0,
81,93,,,,,,85.0,,,,,,,,202.0,
82,94,,,,,,130.0,,,,,,105.0,,313.0,
83,95,,,,,,109.0,,,,,,105.0,,256.0,
84,96,,,,,,79.0,,,,,25.0,105.0,,306.0,
85,97,,,,,,,,,,106.0,,204.0,,156.0,154.0
86,98,,,,,,,,,,105.0,,204.0,,157.0,154.0
87,99,,,122.0,,,,,,,,,206.0,,149.0,152.0
88,100,,,,,,,,,,96.0,,204.0,,155.0,155.0
89,101,,,,,,,,,,96.0,,204.0,,157.0,154.0
90,102,,,152.0,,,,,,,57.0,,203.0,,156.0,155.0
91,103,,,21.0,,,,,,,36.0,,203.0,,152.0,152.0
92,104,,,,,,,,,,54.0,,,,,
93,105,,,102.0,,,,,,,,,,,,
94,106,,,,,,,,,,,,206.0,,102.0,204.0
95,107,,,,,,,,,,,,204.0,,100.0,202.0
96,108,,,,,,72.0,,,,,23.0,206.0,,103.0,202.0
97,109,,,,,,,,,,,,206.0,,101.0,203.0
98,111,,,,,,,,,,,,205.0,,106.0,204.0
99,112,,,23.0,,,,,,,,,,,,
100,113,,228.0,,,72.0,,,,,,,,,,
101,114,,247.0,,,79.0,,,,,,,,,,
102,115,78.0,232.0,,21.0,112.0,,178.0,,,,67.0,,,,
103,116,,,,125.0,,,,,,,,255.0,,105.0,203.0
104,117,52.0,325.0,,68.0,112.0,,,,,,,,,,
105,118,69.0,257.0,,68.0,83.0,,,,,,,,,,
106,119,51.0,233.0,,50.0,86.0,,,,,,,,,,
107,120,,,,57.0,,,,,,,,413.0,,225.0,152.0
108,121,,,,133.0,,,,,,,,207.0,,156.0,154.0
109,122,,,,181.0,,,,,,,,203.0,,155.0,153.0
110,123,,,,21.0,,,,,,,,105.0,,255.0,
111,124,,,,47.0,,,,,,,,105.0,,260.0,
112,125,,,29.0,81.0,,,,,,,,104.0,,204.0,
113,126,,,69.0,,,,,,,,,206.0,,103.0,205.0
114,127,,,72.0,,,,,,,,,,,105.0,203.0
115,128,73.0,,141.0,,,,,,,,,358.0,,208.0,203.0
116,129,,,,81.0,,,,,,,,154.0,,102.0,203.0
117,130,73.0,,62.0,,,,,,,,,103.0,,259.0,204.0
118,131,,,,,,25.0,,,,,211.0,103.0,,312.0,202.0
119,132,,,,,,89.0,,,,,,,,258.0,
120,133,,,72.0,,,,,,,,,312.0,,241.0,205.0
121,134,27.0,,,,,,,,,,,255.0,,120.0,204.0
122,135,48.0,,349.0,,,,,,,,,512.0,,254.0,201.0
123,136,48.0,,132.0,,,,,,,,,205.0,,155.0,205.0
124,137,,,261.0,,,,,,,,,256.0,,152.0,203.0
125,138,,,69.0,,,,,,,,,512.0,,202.0,202.0
126,139,,,21.0,,,,,,,,,107.0,,228.0,202.0
127,140,27.0,,92.0,,,,,,,,,,,209.0,202.0
128,141,,,,,,,,,,,,105.0,,189.0,
129,142,,,21.0,,,,,,,,,107.0,,196.0,
130,143,,,53.0,,,,,,,,,105.0,,152.0,
131,144,,,,,,,,,,,,206.0,,156.0,152.0
132,145,,,72.0,,,,,,,,,207.0,,134.0,151.0
133,146,,,80.0,,,,,,,,,206.0,,154.0,153.0
134,147,,,123.0,,,,,,,,,204.0,,156.0,154.0
135,148,,,,,,,,,,,,205.0,,153.0,103.0
136,149,,,,,,321.0,,,,,25.0,,,105.0,203.0
137,150,,,,,,75.0,,,,,,256.0,,255.0,203.0
138,152,,,,,,,,,,,,106.0,,102.0,203.0
139,153,,,,,,75.0,,,,,,,,152.0,
140,154,,,,,,,,,,,,170.0,,156.0,203.0
141,155,,,,,,,,,,,,106.0,,100.0,203.0
142,156,48.0,,,,,91.0,,,,,28.0,107.0,,104.0,203.0
143,157,,,,,,,,,,,,,,159.0,
144,158,,,70.0,,74.0,,,,,,,126.0,,106.0,204.0
145,159,,,,,,76.0,,,,,,,,156.0,
146,160,,,,,,,,,,,,206.0,,104.0,203.0
147,161,,,213.0,,,,,,,,,205.0,,102.0,205.0
148,162,,,244.0,,,,,,,,,206.0,,102.0,202.0
149,163,,,305.0,,,121.0,,,,,,205.0,,104.0,206.0
150,164,,,249.0,,,53.0,,,,,,410.0,,220.0,205.0
151,165,,,171.0,,,,,,,,,206.0,,109.0,205.0
152,166,,,300.0,,,107.0,,,,,,207.0,,100.0,204.0
153,167,,,262.0,,,37.0,,,,,,,,,
154,168,,,102.0,,,,,,,,,208.0,,215.0,203.0
155,169,,,114.0,,,,,,,,,206.0,,157.0,153.0
156,170,,,198.0,,,350.0,,,,,,107.0,,272.0,
157,171,,,89.0,,,174.0,,,,,,204.0,,204.0,153.0
158,172,,,202.0,,,179.0,,,,,,106.0,,208.0,
159,173,,,315.0,,,280.0,,,,,,105.0,,211.0,
160,174,,,334.0,,,153.0,,,,,,107.0,,211.0,
161,175,,,220.0,,,255.0,,,,,,104.0,,200.0,
162,176,,,89.0,,,168.0,,,,,225.0,105.0,,306.0,
163,177,,,,140.0,,,,,,,,205.0,,121.0,201.0
164,178,,,,103.0,,,,,,,,157.0,,109.0,202.0
165,179,,,,83.0,,,,,,,,106.0,,104.0,203.0
166,180,,,,,,,,,,,,106.0,,221.0,203.0
167,181,,,,,,,,,,,,,,154.0,203.0
168,182,,,,,,,,,,,,157.0,,106.0,202.0
169,183,,,,,,53.0,,,,,84.0,105.0,,110.0,204.0
170,184,,,,,,78.0,,,,,,104.0,,106.0,203.0
171,185,,,,,,,,,,,,,,149.0,202.0
172,186,,,,,,,,,,,,106.0,,103.0,205.0
173,187,,,,,,,,,,,,107.0,,157.0,203.0
174,189,,,,,,125.0,,,,,107.0,412.0,,211.0,203.0
175,190,,,,,,81.0,,,,,,,,,
176,191,,,,175.0,,,,,,,,411.0,,203.0,203.0
177,192,,,,,,70.0,,,,,50.0,,,,
178,193,,,,192.0,,,,,,,,207.0,,111.0,204.0
179,194,,,,145.0,,,,,,,,,,,
180,196,,,,140.0,,,,,,,,,,,
181,197,,,,,,,,,,,,256.0,,101.0,204.0
182,198,27.0,,,166.0,,,,,,,,463.0,159.0,109.0,203.0
183,199,27.0,,,172.0,,,,,,,,206.0,,105.0,206.0
184,200,,,,,,178.0,,,,,,305.0,,160.0,203.0
185,201,27.0,,,106.0,,,,,,,,206.0,,213.0,204.0
186,202,27.0,,,129.0,,,,,,,,561.0,,213.0,205.0
187,203,,,,135.0,,,,,,,,,,213.0,
188,204,,,,81.0,,,,,,,,416.0,278.0,,158.0
189,205,,,,126.0,,,,,,,,255.0,,107.0,204.0
190,206,,,,59.0,,,,,,,,105.0,,205.0,103.0
191,207,,,,105.0,,,,,,,,156.0,,131.0,103.0
192,208,,,,107.0,,,,,,,,,,,
193,209,,,153.0,,,,,,,,,206.0,,105.0,
194,210,,,151.0,,,,,,,,,205.0,,110.0,
195,211,,,,,,,,,,,,412.0,,208.0,
196,212,,,,,,,,,,,,207.0,,155.0,
197,213,,,,,,,,,,,,105.0,,114.0,203.0
198,214,,,,,,,,,,,,,,157.0,
199,215,,,,123.0,,,,,,,,206.0,,126.0,206.0
200,216,,,,59.0,,,,,,,,157.0,,101.0,205.0
201,217,,,,140.0,,,,,,,,123.0,,129.0,203.0
202,218,,,,103.0,,,,,,,,205.0,,103.0,204.0
203,219,,,,188.0,,,,,,,,207.0,,107.0,203.0
204,220,,,,171.0,,,,,,,,,,,
205,221,46.0,,,172.0,,,,,,,,206.0,,106.0,
206,222,92.0,,,206.0,,,,,,,,205.0,,102.0,202.0
207,223,,,124.0,,,,,,,,,666.0,,316.0,202.0
208,224,,,,,,,,,,,,206.0,,104.0,202.0
209,226,,,17.0,,,,,,,,,205.0,,163.0,205.0
210,227,27.0,,,,,,,,,,,255.0,,152.0,
211,228,,,153.0,,,95.0,,,,,,256.0,,154.0,204.0
212,229,,,,43.0,189.0,,,,,,,206.0,,208.0,204.0
213,230,,,,49.0,73.0,,,,,,,206.0,,153.0,203.0
214,231,,,,,184.0,,,,,,,253.0,,104.0,203.0
215,232,,,,,82.0,,,,,,,156.0,,200.0,153.0
216,233,,,,,184.0,,,,,,,207.0,,155.0,152.0
217,234,,,,,148.0,,,,,,,106.0,,231.0,
218,235,,,72.0,,102.0,,,,,,,154.0,,205.0,104.0
219,236,,,91.0,,,,,,,,,,,428.0,
220,237,,,,,,,,,,,,104.0,,311.0,
221,238,,,79.0,,,,,,,,,,,304.0,
222,239,,,,,,36.0,,,,,,,,305.0,
223,240,,,,,,,,,,,,,,356.0,
224,241,,,115.0,,,,,,,,,,,254.0,
225,242,,,91.0,,,,,,,,,,,254.0,
226,243,,,133.0,,,,,,,,,,,,
227,244,,,199.0,,,,,,,,,,,,
228,245,,,19.0,,,,,,,,,,,252.0,
229,246,,,21.0,,,,,,,,,,,,
230,247,,,,,,61.0,,,,,,,,,
231,248,,,,71.0,,,,,,,,,,,
232,249,,,,62.0,,,,,,,,,,,
233,250,,,,150.0,,,,,,,,,,,
234,251,27.0,,,83.0,,,,,,,,204.0,,253.0,203.0
235,252,27.0,,101.0,,,,,,,,,511.0,,210.0,203.0
236,253,,,149.0,,,,,,,,,254.0,,104.0,204.0
237,254,27.0,,,84.0,,,,,,,,464.0,,251.0,202.0
238,255,,,,80.0,,,,,,,,204.0,,121.0,204.0
239,256,,,,98.0,,,,,,,,205.0,,153.0,153.0
240,257,,,,26.0,,,,,,,,203.0,,155.0,155.0
241,258,,,,,,76.0,,,,,,204.0,,151.0,154.0
242,259,,,,,,141.0,,,,,,106.0,,206.0,103.0
243,260,,,,152.0,,,,,,,,207.0,,149.0,152.0
244,261,,,,151.0,,,,,,,,411.0,,203.0,154.0
245,262,,,,116.0,,,,,,,,413.0,,252.0,153.0
246,263,,,68.0,,,,,,,,,458.0,,258.0,151.0
247,264,,,,,,,,,,,,208.0,,152.0,154.0
248,265,,,,,,,,,,,,205.0,,155.0,154.0
249,266,,,74.0,,,,,,,,,205.0,,104.0,203.0
250,267,,,23.0,,,,,,,,,206.0,,107.0,204.0
251,268,,,114.0,,,,,,,,,,,108.0,203.0
252,270,65.0,,52.0,,,,,,,,,311.0,,264.0,205.0
253,271,27.0,,49.0,,,,,,,,,312.0,,116.0,204.0
254,272,,,131.0,,,,,,,,,262.0,,104.0,204.0
255,273,,,42.0,,,167.0,,,,,,,,154.0,
256,274,,,226.0,,,,,,,,,436.0,,103.0,204.0
257,275,,,53.0,,,,,,,,,460.0,,255.0,204.0
258,276,,,74.0,,,,,,,,,255.0,,134.0,203.0
259,277,,,,,,155.0,,,,,,,,307.0,
260,278,,,,,,73.0,,,,,,206.0,,210.0,205.0
261,279,,,,,,89.0,,,,,,,,,
262,280,,,126.0,,,,,,63.0,,,108.0,,263.0,
263,281,,,,,,,,,68.0,,,105.0,,255.0,
264,282,,,80.0,,,,,,65.0,,,104.0,,256.0,
265,283,,,80.0,,,,,,71.0,,,107.0,,256.0,
266,284,,,,,,,,,66.0,,,107.0,,259.0,
267,285,,,92.0,,,,,,70.0,,,105.0,,258.0,
268,286,,,60.0,,,,,,66.0,,,104.0,,256.0,
269,287,,,90.0,,,,,,70.0,,,105.0,,253.0,
270,288,,,83.0,75.0,,,,,66.0,,,103.0,,252.0,
271,289,,,36.0,,,,,,65.0,,,107.0,,252.0,
272,290,,,,,,139.0,,,,,,106.0,,207.0,105.0
273,291,,,,94.0,,,,,,70.0,,459.0,,256.0,154.0
274,292,,,,93.0,,,,,,52.0,,206.0,,226.0,205.0
275,293,,,,92.0,,,,,,,,,,107.0,204.0
276,294,,,,144.0,,,,,,,,,,153.0,204.0
277,295,,,,151.0,,,,,,,,105.0,,105.0,205.0
278,296,,,,99.0,,,,,,,,314.0,,207.0,204.0
279,297,,,,89.0,,,,,,,,410.0,,336.0,204.0
280,298,73.0,,,37.0,,,,,,,,518.0,,379.0,205.0
281,299,,,,,,,,,,,,105.0,,281.0,205.0
282,300,75.0,,89.0,,,,,,,,,521.0,,330.0,202.0
283,301,,,,,,,,,,,,313.0,,254.0,204.0
284,303,46.0,,19.0,,,,,,,,,207.0,,102.0,204.0
285,304,,,70.0,,,,,,,,,205.0,,105.0,204.0
286,305,,,91.0,,,,,,,,,,,,
287,306,,,211.0,,,,,,,,,207.0,,100.0,204.0
288,307,,,301.0,,,,,,,,,,,,
289,308,,,214.0,,,,,,,,,107.0,,102.0,104.0
290,309,,,,,,212.0,,,,,,106.0,,405.0,103.0
291,310,94.0,,,,,91.0,,,,,,106.0,,407.0,104.0
292,311,,,21.0,,,86.0,,,,,,103.0,,209.0,
293,312,,,,,,,,,,,,410.0,,253.0,154.0
294,313,,,,,,,,,,,,203.0,,154.0,153.0
295,314,,,70.0,,,,,,,,,207.0,,156.0,153.0
296,315,,,190.0,,,,,,,,,411.0,,253.0,154.0
297,316,,,,,,,,,,,,206.0,,151.0,154.0
298,317,,,90.0,,,,,,,,,207.0,,149.0,152.0
299,318,,,,,,140.0,,,,,,207.0,,202.0,153.0
300,319,,,,,,,,,,,,105.0,,309.0,
301,320,,,,,,297.0,,,,,,105.0,,300.0,102.0
302,321,,,,,,85.0,,,,,,,,102.0,204.0
303,322,185.0,,101.0,58.0,,,406.0,,,,,1849.0,,636.0,
304,323,,,,140.0,,,,,,,,,,,
305,324,,,,73.0,,,,,,,,155.0,,100.0,203.0
306,325,,,,,,,,,,98.0,,106.0,,104.0,204.0
307,326,,,,164.0,,,,,,,,154.0,,103.0,204.0
308,327,67.0,,,119.0,,,,,,,,775.0,,403.0,205.0
309,328,,,29.0,,,,,,,,,,,,
310,329,,,,168.0,,,,,,,,158.0,155.0,,111.0
311,333,,,,160.0,,,,,,,,205.0,,102.0,203.0
312,334,48.0,,,205.0,,,,,,,,205.0,,353.0,202.0
313,335,,,,,,162.0,,,,,,410.0,,208.0,205.0
314,336,27.0,,,201.0,,,,,,,,481.0,,208.0,205.0
315,337,,,,,,81.0,,,,,,236.0,,132.0,204.0
316,338,,,,239.0,,,,,,,,267.0,,130.0,202.0
317,339,27.0,,,156.0,,,,,,,,362.0,,290.0,202.0
318,340,27.0,,,265.0,,,,,,,,447.0,,279.0,203.0
319,341,,,,,,,,,,,,157.0,,166.0,204.0
320,342,,,,73.0,,,,,,,,257.0,,131.0,202.0
321,344,,,,153.0,,,,,,,,203.0,,131.0,203.0
322,345,,,,195.0,,,,,,,,257.0,,130.0,203.0
323,346,,,,,,87.0,,,,,,321.0,,265.0,205.0
324,347,,,,,,76.0,,,,,,182.0,,327.0,203.0
325,348,,,,,,85.0,,,,,,107.0,,99.0,204.0
326,349,,,,,,170.0,,,,,,157.0,,99.0,204.0
327,351,,,91.0,,88.0,,,,,,,,,120.0,204.0
328,352,37.0,,,,,71.0,,,,,,,,100.0,204.0
329,353,,,,,,195.0,,,,,,205.0,,237.0,104.0
330,354,,,,,,151.0,,,,,25.0,207.0,,247.0,102.0
331,356,,,172.0,,,,,,,,,361.0,,212.0,103.0
332,357,,,92.0,,,,,,,,,359.0,,207.0,103.0
333,358,,,,,,36.0,,,,,172.0,363.0,,201.0,114.0
334,359,,,,184.0,,,,,,,,206.0,,136.0,205.0
335,360,,,,144.0,,,,,,,,469.0,,232.0,203.0
336,361,10.0,,,105.0,,,,,,,,177.0,,165.0,204.0
337,362,,,,57.0,,,,,,,,256.0,,136.0,202.0
338,363,,,,146.0,,,,,,,,186.0,,137.0,205.0
339,364,43.0,,,155.0,,,,,,,,446.0,,295.0,205.0
340,365,,,,146.0,,,,,,,,106.0,,129.0,205.0
341,366,,,,163.0,,,,,,,,268.0,,143.0,202.0
342,367,,,90.0,,,,,,,,,223.0,,135.0,204.0
343,368,,,59.0,,,,,,,63.0,,105.0,,263.0,
344,369,,,42.0,,,,,,,93.0,,203.0,,153.0,153.0
345,370,,,,106.0,,,,,,46.0,,107.0,,154.0,
346,371,,,87.0,,,,,,,58.0,,204.0,,156.0,155.0
347,372,,,246.0,,,,,,,34.0,,204.0,,159.0,154.0
348,373,,,,271.0,,,,,,,,414.0,,243.0,154.0
349,374,,,,,,,,,,,,206.0,,213.0,153.0
350,375,,,,,,,,,,,,207.0,,254.0,
351,376,,,,,,,,,,,,107.0,,216.0,
352,377,,,,,,,,,,,,204.0,,317.0,
353,378,,,,,,,,,,,,106.0,,260.0,
354,379,,,,89.0,,,,,,,,205.0,,145.0,103.0
355,380,,,,92.0,,,,,,,,205.0,,147.0,102.0
356,381,,,,141.0,,,,,,,,312.0,,207.0,104.0
357,383,,,,73.0,,,,,,,,362.0,,214.0,103.0
358,384,,,,152.0,,,,,,,,371.0,,199.0,102.0
359,385,,,,190.0,,,,,,,,363.0,,204.0,157.0
360,386,,,,149.0,,,,,,75.0,,205.0,,144.0,64.0
361,387,,,152.0,,,,,,,,,156.0,,140.0,
362,388,,,121.0,92.0,,,,,,,,226.0,,137.0,204.0
363,389,,,83.0,39.0,,,,,,,,224.0,,168.0,203.0
364,390,29.0,,,,,,,,,,,469.0,,246.0,204.0
365,391,27.0,,,89.0,,,,,,,,253.0,,131.0,203.0
366,392,,,,139.0,,,,,,,,206.0,,133.0,203.0
367,393,,,,66.0,,,,,,,,254.0,,130.0,203.0
368,394,,,,68.0,,,,,,,,204.0,,157.0,204.0
369,395,,,,119.0,,,,,,,,256.0,,138.0,203.0
370,396,29.0,,,89.0,,,,,,,,346.0,,271.0,203.0
371,397,,,,94.0,,,,,,,,256.0,,138.0,204.0
372,398,,,,114.0,,,,,,,,255.0,,129.0,202.0
373,399,,,,71.0,,,,,,,,255.0,,129.0,203.0
374,400,,,,89.0,,,,,,,,248.0,,145.0,203.0
375,401,,,,147.0,,,,,,,,206.0,,149.0,152.0
376,402,,,,162.0,,,,,,,,207.0,,150.0,154.0
377,403,,,,,,60.0,,,,,49.0,106.0,,304.0,
378,404,,,,,,163.0,,,,,26.0,106.0,,200.0,
379,405,,,116.0,,,,,,,,,411.0,,275.0,152.0
380,406,,,,23.0,,,,,,,,206.0,,150.0,154.0
381,407,,,,,,,,,,,,103.0,,256.0,
382,408,,,,,,,,,,,,205.0,,156.0,152.0
383,409,,,,,,,,,,,,155.0,,155.0,153.0
384,410,,,19.0,,,,,,,,,203.0,,153.0,154.0
385,411,,,,,,,,,,,,203.0,,103.0,203.0
386,412,,,,,,,,,,,,,,104.0,203.0
387,413,46.0,,79.0,,,,,,,,,567.0,,327.0,204.0
388,414,,,70.0,,,,,,,,,105.0,,104.0,204.0
389,415,,,,,,,,,,,,204.0,,101.0,202.0
390,416,,,,,,,,,,,,360.0,,327.0,125.0
391,417,,,99.0,,,,,,,,,,,178.0,
392,418,,,152.0,,,,,,,,,,,155.0,204.0
393,419,,,,,,,,,,,,205.0,,103.0,205.0
394,420,,,93.0,,,,,,,,,255.0,,128.0,218.0
395,421,,,93.0,,,,,,,,,221.0,,124.0,223.0
396,422,,,116.0,,,,,,,,,204.0,,131.0,204.0
397,423,,,213.0,,,,,,,,,223.0,,136.0,223.0
398,424,,,57.0,114.0,,,,,,,,254.0,,132.0,205.0
399,425,,,,105.0,,,,,,,,256.0,,129.0,203.0
400,426,,,,94.0,,,,,,,,256.0,,132.0,223.0
401,427,,,,74.0,,,,,,,,373.0,,134.0,223.0
402,428,,,,121.0,,,,,,,,264.0,,137.0,223.0
403,429,,,,90.0,,,,,,,,270.0,,131.0,223.0
404,430,,,,82.0,,,,,,,,203.0,,149.0,152.0
405,431,,,,112.0,,,,,,,,205.0,,151.0,153.0
406,432,,,,83.0,,,,,,,,206.0,,157.0,152.0
407,433,,,,48.0,,,,,,,,203.0,,155.0,155.0
408,434,,,,123.0,,,,,,,,458.0,,313.0,154.0
409,435,,,171.0,,,,,,,,,410.0,,276.0,153.0
410,436,,,,,,,,,,,,105.0,,202.0,
411,437,,,,,,,,,,,,410.0,,260.0,152.0
412,438,,,,176.0,,,,,,,,412.0,,259.0,154.0
413,439,,,,124.0,,,,,,,,461.0,,268.0,154.0
414,440,,,,46.0,,,,,,,,156.0,,113.0,206.0
415,441,,,,136.0,,,,,,,,154.0,,107.0,203.0
416,442,,,,92.0,,,,,,,,,,,
417,443,,,,63.0,,,,,,,,208.0,,104.0,203.0
418,444,52.0,,,115.0,,,,,,,,671.0,,379.0,203.0
419,445,,,,53.0,,,,,,,,,,,
420,446,,,,,,,,,,,,,,111.0,205.0
421,447,,,177.0,,,,,,,,,105.0,,154.0,204.0
422,448,,,,77.0,,,,,,,,105.0,,151.0,203.0
423,449,,,,,,,,,,,,,,257.0,
424,450,,,19.0,,,,,,,,,309.0,,203.0,158.0
425,451,,,,,,,,,,,,204.0,,208.0,103.0
426,452,,,71.0,,,,,,,,,207.0,,140.0,105.0
427,453,27.0,,151.0,,,,,,,,,361.0,,203.0,102.0
428,454,34.0,,55.0,,,,,,,,,311.0,,196.0,104.0
429,455,34.0,,119.0,,,,,,,,,496.0,,242.0,187.0
430,456,,,116.0,,,,,,,,,314.0,,202.0,175.0
431,457,,,,,,,,,,,,205.0,,139.0,102.0
432,458,,,92.0,,,,,,,,,207.0,,153.0,155.0
433,459,,,134.0,,,,,,,,,206.0,,152.0,153.0
434,460,,,165.0,,,,,,,75.0,,408.0,,257.0,153.0
435,461,,,,,,,,,,38.0,,206.0,,157.0,154.0
436,462,,,139.0,,,,,,,34.0,,204.0,,152.0,154.0
437,463,,,171.0,,,,,,,,,202.0,,153.0,153.0
438,464,,,57.0,,,,,,,81.0,,204.0,,157.0,153.0
439,465,,,60.0,,,,,,,105.0,,206.0,,151.0,155.0
440,466,,,198.0,,,,,,,,,106.0,,119.0,204.0
441,467,,,,,,,,,,105.0,,,,,
442,468,,,25.0,,,,,,,105.0,,,,,
443,469,,,,25.0,,,,,,106.0,,207.0,,254.0,204.0
444,470,,,,127.0,,,,,,,,207.0,,102.0,204.0
445,471,,,,92.0,,,,,,,,,,106.0,153.0
446,472,,,,102.0,,,,,,,,409.0,,225.0,204.0
447,473,,,,54.0,,,,,,,,,,154.0,
448,474,,,,,,76.0,,,,,,313.0,,226.0,103.0
449,475,,,,,,73.0,,,,,49.0,371.0,,226.0,187.0
450,476,,,,138.0,,,,,,,,423.0,,221.0,187.0
451,477,,,,108.0,,,,,,,,381.0,,201.0,103.0
452,478,,,,,,,,,,,,203.0,,142.0,104.0
453,479,,,,194.0,,,,,,24.0,,206.0,,144.0,104.0
454,480,,,,127.0,,,,,,26.0,,359.0,,205.0,105.0
455,481,,,342.0,,,,,,,,,359.0,,195.0,103.0
456,482,,,,119.0,,,,,,,,460.0,,237.0,223.0
457,483,,,,74.0,,,,,,,,264.0,,136.0,222.0
458,484,,,,115.0,,,,,,,,253.0,,134.0,224.0
459,485,29.0,,,118.0,,,,,,,,346.0,,267.0,205.0
