,key,Wire 1,Wire 2,Wire 3,Wire 4,Wire 5,Wire 6,Wire 7,Wire 8,Wire 9
89,104,65.17055500000001,,,,,,,,
90,105,115.184151,,,,,,,,
91,106,80.19648000000001,,,,,,,,
92,107,80.109123,,,,,,,,
93,108,84.56447599999998,12.14304,,,,,,,
94,110,34.0704,19.131842,,,,,,,
95,111,118.722243,17.122560999999997,,,,,,,
96,112,92.99472,,,,,,,,
97,113,7.55664,,96.047951,24.148801,,60.094322000000005,,,
98,114,,,88.648567,43.065361,,54.122643,,,
99,115,,,,,,64.21272300000001,,,
100,116,146.022235,0.5824,,,,,,,
101,117,,,93.068977,,,26.975523,,,
102,118,,,94.990898,33.182243,,60.025684,,,
103,119,,,93.117027,,,43.174561,,,
104,120,150.215515,,,,,,,,
105,121,129.205429,,,,,,,,
106,122,133.223999,,,,,,,,
107,123,170.220947,,231.110901,,,40.051441,,,
108,124,175.156799,,254.07785,,,40.085762,,,
109,125,120.382073,,260.13189700000004,,,65.310967,,,
110,126,56.085118,,,,,,,,
111,127,69.189117,,,,,25.0536,,,
112,128,59.23008,,,,,,,,
113,129,115.14048,,,,,,,,
114,130,105.44351600000002,,,,,18.086641,,,
115,131,48.048,,,,,10.05576,,,
116,132,,,,,,28.108082,,,
117,133,15.15696,,,,,137.142731,,,
118,134,,,,,,26.151842,,,
119,135,124.225914,,,,,51.20544099999999,,,
120,136,35.118721,,,,,98.223847,,,
121,137,40.27296,,,,,38.198162,,,
122,138,109.156319,,,,,39.159122,,,
123,139,104.351517,,,,,32.123524,,,
124,140,165.197754,1.6016,,,,20.214481,,,
125,141,93.562557,,,,,42.076324,,,
126,142,142.396804,,,,,,,,
127,143,83.385124,,,,,,,,
128,144,138.37824100000003,,,,,18.086641,,,
129,145,130.777908,,,,,14.0712,,,
130,146,106.273438,,,,,,,,
131,147,133.092957,18.14176,,,,9.197761,,,
132,148,126.235191,38.321918,,,,,,,
133,149,92.03376,,,,,,,,
134,150,19.830719,,,,,,,,
135,151,6.15888,,,,,,,,
136,152,96.052315,,,,,,,,
137,153,70.15007800000001,,,,,,,,
138,154,70.193764,16.103361,,,,,,,
139,155,93.125763,,,,,,,,
140,156,103.172157,,,,,,,,
141,157,20.0928,,,,,,,,
142,158,91.160156,37.157124,,,,,,,
143,159,21.01008,,,,,,,,
144,160,82.249435,,,,,,,,
145,161,109.068962,90.272011,,,,,,,
146,162,152.224793,,,,,,,,
147,163,90.854401,60.249283,,,,,,,
148,164,65.12688399999999,40.069122,,,,,,,
149,165,52.503361,90.301117,,,,,,,
150,166,81.07007600000001,90.330239,,,,,,,
151,167,45.121437,20.0928,,,,,,,
152,168,60.10368,60.249279,,,,,,,
153,169,36.254399,117.149767,,,,,,,
154,170,120.338402,85.001274,,,,,,,
155,171,100.114563,50.756161000000006,,,,,,,
156,172,85.219674,,,,,,,,
157,173,91.990073,,,,,,,,
158,174,110.117287,,,,,,,,
159,175,91.203842,,,,,,,,
160,176,75.1296,,,,,,,,
161,177,116.276169,,,,,,,,
162,178,163.668945,,,,,,,,
163,179,75.26063500000001,,,,,,,,
164,180,56.259841,,,,,,,,
165,181,42.194881,,,,,,,,
166,182,37.08432,,,,,,,,
167,183,100.245601,,,,,,,,
168,184,97.974236,,,,,,,,
169,185,103.041115,,,,,,,,
170,186,98.105278,,,,,,,,
171,187,90.111839,,,,,,,,
172,188,55.080479,,,,,,,,
173,189,74.21231800000001,64.18048099999999,,,,,,,
174,190,78.143516,30.110081,,,,,,,
175,191,105.094078,,,,,,,,
176,192,76.17791700000001,60.161922,,,,,,,
177,193,122.129272,,,,,,,,
178,194,117.106079,,,,,,,,
179,196,83.254082,,,,,,,,
180,198,91.378555,,,,,,,,
181,199,83.341438,,,,,,,,
182,200,121.211998,18.170881,,,,,,,
183,201,61.151998,,,,,,,,
184,202,105.006721,9.143681,,,,,,,
185,203,120.20736,15.025921,,,,,,,
186,204,134.184952,20.35488,,,,,,,
187,205,135.189591,18.11264,,,,,,,
188,206,127.458237,15.11328,,,,,,,
189,207,107.059677,15.142401,,,,,,,
190,208,109.986244,,,,,,,,
191,213,67.136154,,,,,,,,
192,214,82.205758,25.043201,,,,,,,
193,215,126.322556,,,,,,,,
194,216,95.091362,25.10144,,,,,,,
195,217,177.03503399999997,,,,,,,,
196,218,126.191513,,,,,,,,
197,219,103.215836,12.0848,,,,,,,
198,220,89.150879,,,,,,,,
199,221,140.08175599999998,14.035841,,,,,,,
200,222,88.845115,,,,,,,,
201,223,142.09103299999998,57.24992,,,,,,,
202,224,126.104149,111.296654,,,,,,,
203,225,182.626068,40.040001,,,,,,,
204,226,74.212326,,,,,,,,
205,227,164.36784300000002,,,,,,,,
206,228,111.078232,63.248642,,,,,,,
207,229,154.32144100000002,,,,,,,,
208,230,75.17327900000001,,,,,,,,
209,231,150.171829,,,,,,,,
210,232,145.017593,,,,,,,,
211,233,145.148636,,,,,,,,
212,234,125.099525,,,,,,,,
213,235,154.670866,83.312325,,,,,,,
214,236,60.889915,29.090881,,,,,,,
215,237,71.11104,65.199684,,,,,,,
216,238,58.3128,45.106884,,,,,,,
217,239,85.175995,80.196487,,,,,,,
218,240,35.07504,25.13056,,,,,,,
219,241,30.1392,55.124165000000005,,,,,,,
220,242,50.18832,26.149759,,,,,,,
221,243,71.6352,144.289596,,,,,,,
222,244,58.225441,106.258888,,,,,,,
223,245,46.3008,86.51552500000001,,,,,,,
224,246,55.779358,90.126404,,,,,,,
225,247,45.208798,46.67936300000001,,,,,,,
226,248,104.96304,,,,,,,,
227,249,102.648004,,,,,,,,
228,250,100.289276,,,,,,,,
229,251,109.156319,,,,,,,,
230,252,165.24144,67.121598,,,,,,,
231,253,118.154396,30.02272,,,,,,,
232,254,170.177276,,,,,,,,
233,255,86.399033,,,,,,,,
234,256,47.261757,,,,,,,,
235,257,84.171356,,,,,,,,
236,258,80.240158,,,,,,,,
237,259,55.080479,,,,,,,,
238,260,104.220474,,,,,,,,
239,261,90.286568,,,,,,,,
240,262,142.26575499999998,,,,,,,,
241,263,78.18719899999999,,,,,,,,
242,264,63.073921,,,,,,,,
243,265,62.200318,,,,,,,,
244,266,73.295036,,,,,,,,
245,267,82.293121,,,,,,,,
246,268,57.133438,,,,,,,,
247,270,110.204636,35.118721,,,,,,,
248,271,140.16911399999998,75.1296,,,,,,,
249,272,120.163681,84.21504200000001,,,,,,,
250,273,70.01904300000001,,,,,,,,
251,274,171.924481,19.190081,,,,,,,
252,275,100.114563,14.06496,,,,,,,
253,276,118.198082,82.205765,,,,,,,
254,277,61.152,90.184647,,,,,,,
255,278,53.464321000000005,109.46208199999998,,,,,,,
256,279,99.066236,,,,,,,,
257,280,160.174557,76.236166,,,,,,46.002319,
258,281,125.230568,100.289276,,,,,,46.094879,
259,282,90.155517,35.060482,,,,,,46.187439000000005,
260,283,125.143204,35.147839000000005,,,,,,46.094879,
261,284,105.181442,65.257919,,,,,,46.279999,
262,285,60.27839999999999,,,,,,,46.187439000000005,
263,286,110.204636,45.135998,,,,,,46.187439000000005,
264,287,130.166381,60.103683,,,,,,45.354401,
265,288,70.19376399999999,,,,,,,45.076721,
266,289,86.311676,20.180161,,,,,,45.076721,
267,290,67.31088199999999,,,,,,,,
268,291,176.117752,30.110081,,,,,,,
269,292,74.212326,,,,,,,,
270,293,131.73888,,,,,,,,
271,294,99.372001,,,,,,,,
272,295,110.160957,,,,,,,,
273,296,168.080642,,,,,,,,
274,297,158.29631,,,,,,,,
275,298,118.329124,,,,,,,,
276,299,98.105278,28.129921000000003,,,,,,,
277,300,45.077759,10.13376,,,,,,,
278,301,125.099525,67.23808199999999,,,,,,,
279,302,58.181759,21.17024,,,,,,,
280,303,75.216965,,,,,,,,
281,304,117.193444,12.14304,,,,,,,
282,305,133.70448299999998,43.010242,,,,,,,
283,306,149.036163,,,,,,,,
284,307,56.085121,,,,,,,,
285,308,88.75775800000001,,,,,,,,
286,309,93.038399,,,,,,,,
287,310,83.210399,31.1584,,,,,,,
288,311,81.98735400000001,0.17472,,,,,,,
289,312,149.079834,,,,,,,,
290,313,68.228159,,,,,,,,
291,314,68.097121,,,,,,,,
292,315,98.192642,,,,,,,,
293,316,120.163681,20.151041,,,,,,,
294,317,97.100639,,,,,,,,
295,318,87.316322,,,,,,,,
296,319,33.240479,,,,,,,,
297,320,63.248642,,,,,,,,
298,321,15.15696,,,,,,,,
299,322,,188.22855,,,,,,,
300,323,146.53079200000002,16.2864,,,,,,,
301,324,180.320389,,,,,,,,
302,325,114.2855992056,,,,,,,,
303,326,100.105202,,,,,,,,
304,327,97.016404,,,,,,,,
305,328,96.876001,40.052479,,,,,,,
306,329,183.362397,,,,,,,,
307,333,93.178802,,,,,,,,
308,334,130.291199,,,,,,,,
309,335,73.42920000000001,,,,,,,,
310,336,149.385605,,,,,,,,
311,337,58.219201,12.15448,,,,,,,
312,338,82.13400200000001,,,,,,,,
313,339,92.195999,,,,,,,,
314,340,62.290802000000006,,,,,,,,
315,341,37.065601,55.584877,,,,,,,
316,342,66.22200000000001,,,,,,,,
317,343,48.110401,,,,,,,,
318,344,97.297195,,,,,,,,
319,345,71.22959900000001,,,,,,,,
320,346,81.385196,35.106239,,,,,,,
321,347,63.133201,23.10256,,,,,,,
322,348,52.275599,23.10256,,,,,,,
323,349,76.283997,0.03016,,,,,,,
324,350,32.292,,,,,,,,
325,351,69.26400799999999,47.170239,,,,,,,
326,352,61.1208,,,,,,,,
327,353,63.367203,,,,,,,,
328,354,49.139995,,,,,,,,
329,356,78.48359599999999,,,,,,,,
330,357,127.062004,9.16864,,,,,,,
331,358,57.376801,110.355438,,,,,,,
332,359,114.191993,,,,,,,,
333,360,84.239998,,,,,,,,
334,361,237.463211,,,,,,,,
335,362,115.268402,,,,,,,,
336,363,117.093597,,,,,,,,
337,364,122.2416,,,,,,,,
338,365,196.793999,,,,,,,,
339,366,124.207191,,,,,,,,
340,367,110.260796,30.069521,,,,,,,
341,368,72.212395,,,,,,,,
342,369,120.275994,35.136398,,,,,,,
343,370,160.19639600000002,,,,,,,,
344,371,135.298798,,,,,,,,
345,372,127.249199,,,,,,,,
346,373,121.258789,,,,,,,,
347,374,81.057598,,,,,,,,
348,379,166.28041,,,,,,,,
349,380,91.025998,,,,,,,,
350,381,190.242004,,,,,,,,
351,383,199.41478,8.082880000000001,,,,,,,
352,384,138.200394,,,,,,,,
353,385,117.327598,,,,,,,,
354,386,157.201203,,,,,,,,
355,387,113.302795,,,,,,,,
356,388,135.251999,,,,,,,,
357,389,86.392799,15.11016,,,,,,,
358,390,166.327202,,,,,,,,
359,391,132.490799,,,,,,,,
360,392,119.527198,,,,,,,,
361,393,105.019203,,,,,,,,
362,394,88.030792,,,,,,,,
363,395,101.181602,,,,,,,,
364,396,131.3208,,,,,,,,
365,397,155.141998,,,,,,,,
366,398,124.207207,,,,,,,,
367,399,97.110001,,,,,,,,
368,400,155.375992,,,,,,,,
369,401,89.29440299999999,,,,,,,,
370,402,94.536003,,,,,,,,
371,403,22.229999,,,,,,,,
372,404,37.205997,33.236321000000004,,,,,,,
373,405,121.305594,46.174957,,,,,,,
374,406,136.375206,70.061684,277.044769,,,,,,
375,407,129.261596,108.515679,279.78350800000004,,,,,,
376,408,125.236801,35.136398,,,,,,,
377,409,60.372002,45.239998,,,,,,,
378,410,78.202797,24.158159,,,,,,,
379,411,20.124001,29.13456,,,,,,,
380,412,99.122398,,,,,,,,
381,413,145.454391,35.166557,,,,,,,
382,414,128.185211,37.187283,,,,,,,
383,415,73.10160099999999,34.261757,,,,,,,
384,416,112.132797,21.112,,,,,,,
385,417,130.291199,50.09576,260.13189700000004,,,,,,
386,418,145.313995,75.339676,260.083832,,,,,,
387,419,102.211197,,,,,,,,
388,420,181.350006,,,,,,,,
389,421,174.42361499999998,11.1592,,,,,,,
390,422,132.397201,29.13456,,,,,,,
391,423,118.310394,17.161039000000002,,,,,,,
392,424,163.331985,20.146879,,,,,,,
393,425,167.403595,,,,,,,,
394,426,160.383591,,,,,,,,
395,427,125.798396,,,,,,,,
396,428,140.680799,,,,,,,,
397,429,106.189194,,,,,,,,
398,430,108.1548,,,,,,,,
399,431,122.194802,,,,,,,,
400,432,106.095596,,,,,,,,
401,433,88.124397,,,,,,,,
402,434,122.147995,,,,,,,,
403,435,125.236801,109.36015999999998,,,,,,,
404,436,36.129601,0.0904799999999999,,,,,,,
405,437,119.1996,67.105999,,,,,,,
406,438,171.381607,18.06584,,,,,,,
407,439,152.28720099999998,,,,,,,,
408,440,127.249198,,,,,,,,
409,441,163.98719899999998,,,,,,,,
410,442,162.58319,,,,,,,,
411,443,118.169998,9.07816,,,,,,,
412,444,168.3396,,,,,,,,
413,445,121.258789,26.118561,,,,,,,
414,446,112.226394,,,,,,,,
415,447,133.239608,41.108078000000006,,,,,,,
416,448,127.529991,,,,,,,,
417,449,100.151993,14.08472,,,,,,,
418,450,221.317184,14.0244,,,,,,,
419,451,138.153595,23.012081,,,,,,,
420,452,108.342003,,,,,,,,
421,453,189.399613,54.046722,,,,,,,
422,454,160.617584,35.076080000000005,,,,,,,
423,455,149.198395,10.1036,,,,,,,
424,456,68.140801,,,,,,,,
425,457,102.164398,,,,,,,,
426,458,91.166405,,,,,,,,
427,459,130.66561099999998,,,,,,,,
428,460,222.955194,,,,,,,,
429,461,90.043198,,,,,,,,
430,462,95.284797,,,,,,,,
431,463,135.25199899999998,,,,,,,,
432,464,151.351197,,,,,,,,
433,465,165.25079399999998,30.129841,,,,,,,
434,466,155.235611,,,,,,,,
435,467,115.0812,,,,,,,,
436,468,139.97879,30.16,,,,,,,
437,469,125.283608,,,,,,,,
438,470,152.193603,,,,,,,,
439,471,171.28801,,,,,,,,
440,472,145.08000099999998,,,,,,,,
441,473,169.416,9.07816,,,,,,,
442,474,77.220001,,,,,,,,
443,475,97.811997,13.21008,,,,,,,
444,476,45.161995000000005,,,,,,,,
445,477,86.15879799999999,,,,,,,,
446,478,131.227188,8.17336,,,,,,,
447,479,139.183213,8.11304,,,,,,,
448,480,137.12399299999998,30.16,,,,,,,
449,481,65.23919699999999,,,,,,,,
450,482,132.3504,,,,,,,,
451,483,123.785996,,,,,,,,
452,484,120.229194,,,,,,,,
453,485,98.279995,,,,,,,,
454,486,98.186402,,,,,,,,
455,487,22.1364,,,,,,,,
456,488,92.1492,,,,,,,,
457,489,105.112801,,,,,,,,
458,490,76.049995,,,,,,,,
459,491,87.328797,,,,,,,,
460,492,126.172799,,,,,,,,
461,493,100.105202,,,,,,,,
462,494,93.132004,,,,,,,,
463,495,120.042,,,,,,,,
464,496,68.28119699999999,,,,,,,,
465,497,87.094803,,,,,,,,
466,498,73.28879500000001,,,,,,,,
467,499,45.349197,,,,,,,,
468,500,102.070801,14.08472,,,,,,,
469,501,23.165998,14.08472,,,,,,,
470,502,35.099998,,,,,,,,
471,503,127.3428,,,,,,,,
472,504,,23.193039,,,,,,,
473,505,80.215195,45.17968,,,,,,,
474,507,177.325195,,,,,,,,
475,508,100.151993,,,,,,,,
476,509,114.379203,,,,,,,,
477,510,51.292801,,,,,,,,
478,511,20.124001,,,,,,,,
479,512,77.26679999999999,15.20064,,,,,,,
480,513,95.1912,39.147678000000006,,,,,,,
481,514,102.117599,,,,,,,,
482,515,137.311203,,,,,,,,
483,516,151.72560099999998,,,,,,,,
484,517,115.268402,,,,,,,,
485,518,163.332001,,,,,,,,
486,519,128.232009,,,,,,,,
487,520,125.283592,16.195919,,,,,,,
488,521,47.080799,9.16864,,,,,,,
489,522,73.14839699999999,82.09552,,,,,,,
490,523,74.318405,97.115196,,,,,,,
491,524,54.147598,51.03072,,,,,,,
492,525,54.100799,28.078958,,,,,,,
493,526,90.183601,43.128799,,,,,,,
494,527,105.346802,30.09968,,,,,,,
495,528,131.461196,,,,,,,,
496,530,,22.107281,,,,,,,
497,531,149.151613,9.13848,,,,,,,
498,532,108.1548,,,,,,,,
499,533,150.27478799999997,15.17048,,,,,,,
500,534,105.019203,,,,,,,,
501,535,165.344403,,,,,,,,
502,536,97.203606,14.14504,,,,,,,
503,537,100.011597,,,,,,,,
504,538,102.070801,,,,,,,,
505,539,68.094002,,,,,,,,
506,541,123.2244,,,,,,,,
507,542,133.239609,,,,,,,,
508,543,120.135598,,,,,,,,
509,544,53.351998,,,,,,,,
510,545,62.19720099999999,,,,,,,,
511,546,35.287201,,,,,,,,
512,547,52.275597,,,,,,,,
513,548,60.325199,,,,,,,,
514,549,64.256393,24.128,,,,,,,
515,550,60.325199,,,,,,,,
516,551,,40.173119,,,,,,,
517,552,21.1068,,,,,,,,
518,553,152.33399999999995,,,,,,,,
519,554,148.215607,,,,,,,,
520,555,168.38639899999998,22.227921,,,,,,,
521,556,100.151993,15.14032,,,,,,,
522,557,113.209198,,,,,,,,
523,558,101.181595,,,,,,,,
524,559,105.112801,,,,,,,,
525,560,106.750802,,,,,,,,
526,561,99.122398,,,,,,,,
527,562,32.1516,,,,,,,,
528,563,140.166,,,,,,,,
529,564,95.097595,,,,,,,,
530,565,133.099197,,,,,,,,
531,566,68.468399,,,,,,,,
532,567,113.209198,,,,,,,,
533,568,100.151993,,,,,,,,
534,569,49.186798,60.169201,,,,,,,
535,570,60.231602,59.264397,,,,,,,
536,571,113.255996,150.28729299999998,,,,,,,
537,572,102.257999,90.148238,,,,,,,
538,573,55.17719699999999,,,,,,,,
539,574,147.232803,,,,,,,,
540,575,124.253997,21.172319,,,,,,,
541,576,188.463608,36.161839,,,,,,,
542,577,94.348801,9.16864,,,,,,,
543,578,139.183197,44.305038,,,,,,,
544,579,86.252396,16.135599,,,,,,,
545,580,71.370002,1.17624,,,,,,,
546,581,103.194001,12.12432,,,,,,,
547,582,100.011597,,,,,,,,
548,583,90.323998,59.05327700000001,,,,,,,
549,584,139.229995,,,,,,,,
550,585,110.401199,,,,,,,,
551,586,138.294005,,,,,,,,
552,587,97.156791,,,,,,,,
553,588,130.24439999999998,,,,,,,,
554,589,151.070404,,,,,,,,
555,590,109.043999,,,,,,,,
556,591,80.355599,,,,,,,,
557,592,103.100395,,,,,,,,
558,593,63.36720299999999,,,,,,,,
559,594,105.112801,50.09576,,,,,,,
560,595,140.166001,,,,,,,,
561,596,162.302399,,,,,,,,
562,597,165.20401,,,,,,,,
563,598,86.15879799999999,65.205919,,,,,,,
564,599,109.184403,,,,,,,,
565,600,58.827598,,,,,,,,
566,601,98.186401,,,,,,,,
567,602,67.111198,,,,,,,,
568,603,91.166401,78.68743900000001,,,,,,,
569,604,155.235611,,,,,,,,
570,605,100.058403,,,,,,,,
571,606,150.181198,,,,,,,,
572,608,60.091198,,,,,,,,
573,609,85.129204,,,,,,,,
574,610,64.95839699999999,,,,,,,,
575,611,45.068398,,,,,,,,
576,612,119.059204,18.096001,,,,,,,
577,613,151.070404,,,,,,,,
578,614,153.737999,,,,,,,,
579,615,159.16679399999998,,,,,,,,
580,616,152.33399300000002,,,,,,,,
581,617,138.24719199999998,,,,,,,,
582,618,70.199997,,,,,,,,
583,619,90.043198,,,,,,,,
584,620,104.925598,,,,,,,,
585,621,103.942802,,,,,,,,
586,622,96.0336,,,,,,,,
587,623,105.112801,,,,,,,,
588,624,145.173599,,,,,,,,
589,625,155.329193,,,,,,,,
590,626,100.151992,210.245362,,,,,,,
591,627,98.326797,,,,,,,,
592,628,54.10079999999999,103.20752,,,,,,,
593,629,61.1208,31.094959000000003,,,,,,,
594,630,156.592803,118.257354,,,,,,,
595,631,103.053604,85.744876,,,,,,,
596,632,63.133202,34.925278000000006,,,,,,,
597,633,117.093597,30.12984,,,,,,,
598,634,93.225594,,,,,,,,
599,635,57.236401,17.07056,,,,,,,
600,636,82.321197,,,,,,,,
601,637,129.214798,,,,,,,,
602,638,169.322388,,,,,,,,
603,639,136.094398,,,,,,,,
604,640,75.113998,,,,,,,,
605,641,221.176796,,,,,,,,
606,642,130.291198,,,,,,,,
607,643,39.967201,,,,,,,,
608,644,105.159599,,,,,,,,
609,645,95.1912,,,,,,,,
610,646,136.234802,,,,,,,,
611,647,100.151993,,,,,,,,
612,648,105.112801,,,,,,,,
613,649,90.183601,,,,,,,,
614,650,170.398798,,,,,,,,
615,651,123.130799,,,,,,,,
616,652,121.305593,,,,,,,,
617,653,187.293594,,,,,,,,
618,654,116.204392,10.133759,,,,,,,
619,655,124.066803,,,,,,,,
620,656,60.137997,,,,,,,,
621,657,99.496795,27.264641000000005,,,,,,,
622,658,175.266006,,,,,,,,
623,659,94.208396,,,,,,,,
624,660,76.14359999999999,,,,,,,,
625,661,128.980804,14.1752,,,,,,,
626,662,90.183601,,,,,,,,
627,663,130.24439999999998,,,,,,,,
628,664,68.047203,,,,,,,,
629,665,95.518799,,,,,,,,
630,666,64.162796,,,,,,,,
631,667,129.214798,,,,,,,,
632,668,95.331604,,,,,,,,
633,669,90.183601,,,,,,,,
634,670,91.400398,,,,,,,,
635,671,135.298797,,,,,,,,
636,672,90.932398,,,,,,,,
637,673,134.877605,,,,,,,,
638,674,20.170799,,,,,,,,
639,675,67.34519900000001,,,,,,,,
640,676,93.2724,,,,,,,,
641,677,59.108402,,,,,,,,
642,678,96.080399,,,,,,,,
643,679,72.071999,,,,,,,,
644,680,120.04200000000002,,,,,,,,
645,681,118.169998,,,,,,,,
646,682,70.059601,,,,,,,,
647,684,107.265594,,,,,,,,
648,685,35.099998,,,,,,,,
649,686,130.19760100000002,,,,,,,,
650,687,137.919601,,,,,,,,
651,688,156.265197,,,,,,,,
652,689,97.297196,51.332317,,,,,,,
653,690,16.0056,,,,,,,,
654,691,68.187599,20.17704,,,,,,,
655,692,94.629601,32.331520000000005,,,,,,,
656,693,95.144401,,,,,,,,
657,694,94.1148,,,,,,,,
658,695,58.312797,11.18936,,,,,,,
659,696,134.128799,,,,,,,,
660,697,107.125198,,,,,,,,
661,698,107.171997,,,,,,,,
662,699,126.125999,,,,,,,,
663,700,93.132004,,,,,,,,
664,701,182.239197,,,,,,,,
665,702,197.308791,,,,,,,,
666,703,170.211609,,,,,,,,
667,704,144.377997,,,,,,,,
668,705,122.194801,,,,,,,,
669,706,75.113998,,,,,,,,
670,707,55.317598,,,,,,,,
671,708,94.957199,,,,,,,,
672,709,45.068398,,,,,,,,
673,716,135.111603,,,,,,,,
674,717,130.150803,,,,,,,,
675,718,78.15599800000001,,,,,,,,
676,719,82.274399,,,,,,,,
677,720,103.053598,,,,,,,,
678,721,89.24759599999999,,,,,,,,
679,722,67.157997,,,,,,,,
680,723,115.174797,,,,,,,,
681,724,81.29160300000001,,,,,,,,
682,725,117.093597,,,,,,,,
683,726,138.200396,,,,,,,,
684,727,165.391205,,,,,,,,
685,728,212.37838800000003,,,,,,,,
686,729,115.174797,,,,,,,,
687,730,110.447998,,,,,,,,
688,731,98.467201,,,,,,,,
689,732,115.034401,,,,,,,,
690,733,97.250405,,,,,,,,
691,734,100.105202,,,,,,,,
692,735,150.508805,,,,,,,,
693,736,140.259597,,,,,,,,
694,737,183.268787,,,,,,,,
695,738,145.360798,,,,,,,,
696,739,81.057602,,,,,,,,
697,740,102.9132,,,,,,,,
698,741,107.125198,,,,,,,,
699,742,112.319999,,,,,,,,
700,743,107.546401,,,,,,,,
701,745,13.9932,56.157921,,,,,,,
702,746,67.157997,73.198318,,,,,,,
703,747,57.2364,,,,,,,,
704,749,22.183201,37.126961,,,,,,,
705,750,,99.226395,,,,,,,
706,751,65.332798,21.956478,,,,,,,
707,752,63.32039999999999,25.153439,,,,,,,
708,753,16.0056,40.203281,,,,,,,
709,756,92.055603,,,,,,,,
710,757,145.360794,,,,,,,,
711,758,124.253998,,,,,,,,
712,759,101.2752,,,,,,,,
713,760,125.330391,,,,,,,,
714,761,104.27040100000002,,,,,,,,
715,762,79.045196,,,,,,,,
716,763,80.262001,,,,,,,,
717,764,110.213997,,,,,,,,
718,765,80.77679699999999,,,,,,,,
719,767,103.849198,,,,,,,,
720,768,79.981201,,,,,,,,
721,769,222.300003,0.09048,,,,,,,
722,770,78.062401,,,,,,,,
723,771,68.00039699999999,,,,,,,,4.622800000000001
724,772,71.88479600000001,35.136398,,,,,,,
725,773,107.218804,35.166557,,,,,,,
726,774,75.160797,52.206959000000005,,,,,,,35.0168
727,775,102.304794,148.930079,,,,,,,10.01
